Darren Fells,ARI,2014.0,5.0,12.0,5.0,71.0,0.0,9.6,1.9
Nic Jacobs,JAC,2014.0,3.0,3.0,2.0,16.0,1.0,8.6,2.9
Luke Stocker,TB,2014.0,5.0,11.0,7.0,41.0,0.0,7.6,1.5
Brandon Bostick,GB,2014.0,2.0,4.0,2.0,3.0,1.0,7.3,3.7
Bear Pascoe,ATL,2014.0,3.0,3.0,2.0,3.0,1.0,7.3,2.4
James Hanna,DAL,2014.0,5.0,6.0,4.0,48.0,0.0,6.8,1.4
Michael Palmer,PIT,2014.0,2.0,2.0,1.0,1.0,1.0,6.6,3.3
John Phillips,SD,2014.0,1.0,1.0,1.0,1.0,1.0,6.6,6.6
Brandon Williams,CAR,2014.0,5.0,8.0,4.0,44.0,0.0,6.4,1.3
Garrett Celek,SF,2014.0,2.0,2.0,2.0,53.0,0.0,6.3,3.2
Michael Hoomanawanui,NE,2014.0,6.0,6.0,3.0,44.0,0.0,5.9,1.0
Troy Niklas,ARI,2014.0,3.0,4.0,3.0,38.0,0.0,5.3,1.8
Tyler Eifert,CIN,2014.0,1.0,3.0,3.0,37.0,0.0,5.2,5.2
Kevin Brock,CIN,2014.0,4.0,6.0,5.0,21.0,0.0,4.6,1.2
Phillip Supernaw,BAL,2014.0,3.0,3.0,3.0,30.0,0.0,4.5,1.5
Harold Hoskins,MIA,2014.0,4.0,4.0,3.0,21.0,0.0,3.6,0.9
Craig Stevens,TEN,2014.0,1.0,2.0,2.0,26.0,0.0,3.6,3.6
Demetrius Harris,KC,2014.0,5.0,5.0,3.0,20.0,0.0,3.5,0.7
Taylor Thompson,TEN,2014.0,3.0,4.0,2.0,24.0,0.0,3.4,1.1
David Ausberry,OAK,2014.0,1.0,4.0,2.0,14.0,0.0,2.4,2.4
Cameron Brate,TB,2014.0,1.0,1.0,1.0,17.0,0.0,2.2,2.2
Vance McDonald,SF,2014.0,4.0,8.0,2.0,30.0,0.0,2.0,0.5
Marcel Jensen,JAC,2014.0,1.0,1.0,1.0,8.0,0.0,1.3,1.3
Trey Burton,PHI,2014.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
David Johnson,SD,2014.0,1.0,1.0,1.0,4.0,0.0,0.9,0.9
Asante Cleveland,SF,2014.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Kellen Davis,DET,2014.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0
Richard Gordon,KC,2014.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Steve Maneri,NE,2014.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Gerell Robinson,MIA,2014.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Mickey Shuler,JAC,2014.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0
Logan Thomas,ARI,2014.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordan Thompson,DET,2014.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Rob Gronkowski,NE,2015.0,15.0,120.0,72.0,1176.0,11.0,219.6,14.6
Jordan Reed,WAS,2015.0,14.0,114.0,87.0,952.0,11.0,200.7,14.3
Gary Barnidge,CLE,2015.0,16.0,125.0,79.0,1043.0,9.0,197.8,12.4
Delanie Walker,TEN,2015.0,15.0,133.0,94.0,1088.0,6.0,195.4,13.0
